TaskName,PlaybackID,TrialID,GazeCongruency,TargetLocation,Participant,AI
joint,P05_Player2_1022_joint_TrialID3_Date_09_05_2019_105128.csv,1,0,1,Responder,Initiator
joint,P05_Player1_1013_joint_TrialID48_Date_09_05_2019_104933.csv,2,0,1,Responder,Initiator
joint,P16_Player2_1003_joint_TrialID13_Date_14_05_2019_141427.csv,3,0,2,Responder,Initiator
joint,P16_Player2_1013_joint_TrialID10_Date_14_05_2019_141611.csv,4,0,2,Responder,Initiator
joint,P07_Player2_1053_joint_TrialID23_Date_09_05_2019_142224.csv,5,0,3,Responder,Initiator
joint,P11_Player1_1048_joint_TrialID30_Date_10_05_2019_132344.csv,6,0,3,Responder,Initiator
joint,P07_Player2_1004_joint_TrialID4_Date_09_05_2019_141716.csv,7,1,1,Responder,Initiator
joint,P07_Player2_1014_joint_TrialID5_Date_09_05_2019_141821.csv,8,1,1,Responder,Initiator
joint,P07_Player2_1025_joint_TrialID1_Date_09_05_2019_141940.csv,9,1,1,Responder,Initiator
joint,P07_Player2_1027_joint_TrialID2_Date_09_05_2019_141950.csv,10,1,1,Responder,Initiator
joint,P14_Player2_1010_joint_TrialID7_Date_14_05_2019_112051.csv,11,1,1,Responder,Initiator
joint,P14_Player2_1011_joint_TrialID4_Date_14_05_2019_112058.csv,12,1,1,Responder,Initiator
joint,P07_Player2_1008_joint_TrialID10_Date_09_05_2019_141742.csv,13,1,2,Responder,Initiator
joint,P10_Player2_1047_joint_TrialID12_Date_10_05_2019_124911.csv,14,1,2,Responder,Initiator
joint,P11_Player1_1047_joint_TrialID40_Date_10_05_2019_132338.csv,15,1,2,Responder,Initiator
joint,P14_Player2_1045_joint_TrialID12_Date_14_05_2019_112458.csv,16,1,2,Responder,Initiator
joint,P14_Player2_1053_joint_TrialID16_Date_14_05_2019_112555.csv,17,1,2,Responder,Initiator
joint,P16_Player2_1008_joint_TrialID12_Date_14_05_2019_141528.csv,18,1,2,Responder,Initiator
joint,P11_Player1_1003_joint_TrialID33_Date_10_05_2019_131845.csv,19,1,3,Responder,Initiator
joint,P11_Player1_1010_joint_TrialID28_Date_10_05_2019_131941.csv,20,1,3,Responder,Initiator
joint,P11_Player1_1035_joint_TrialID31_Date_10_05_2019_132217.csv,21,1,3,Responder,Initiator
joint,P14_Player2_1008_joint_TrialID27_Date_14_05_2019_112033.csv,22,1,3,Responder,Initiator
joint,P16_Player2_1010_joint_TrialID25_Date_14_05_2019_141548.csv,23,1,3,Responder,Initiator
joint,P14_Player2_1026_joint_TrialID22_Date_14_05_2019_112254.csv,24,1,3,Responder,Initiator
joint,P05_Player1_1012_joint_TrialID6_Date_09_05_2019_104926.csv,25,-1,1,Initiator,Responder
joint,P05_Player1_1033_joint_TrialID8_Date_09_05_2019_105146.csv,26,-1,1,Initiator,Responder
joint,P05_Player1_1036_joint_TrialID9_Date_09_05_2019_105206.csv,27,-1,1,Initiator,Responder
joint,P07_Player2_1028_joint_TrialID53_Date_09_05_2019_141956.csv,28,-1,1,Initiator,Responder
joint,P07_Player2_1051_joint_TrialID48_Date_09_05_2019_142213.csv,29,-1,2,Initiator,Responder
joint,P07_Player2_1054_joint_TrialID50_Date_09_05_2019_142229.csv,30,-1,2,Initiator,Responder
joint,P08_Player1_1055_joint_TrialID2_Date_09_05_2019_154900.csv,31,-1,2,Initiator,Responder
joint,P10_Player1_1016_joint_TrialID3_Date_10_05_2019_124453.csv,32,-1,2,Initiator,Responder
joint,P05_Player1_1035_joint_TrialID18_Date_09_05_2019_105158.csv,33,-1,3,Initiator,Responder
joint,P07_Player2_1005_joint_TrialID44_Date_09_05_2019_141723.csv,34,-1,3,Initiator,Responder
joint,P07_Player2_1030_joint_TrialID43_Date_09_05_2019_142009.csv,35,-1,3,Initiator,Responder
joint,P07_Player2_1041_joint_TrialID40_Date_09_05_2019_142110.csv,36,-1,3,Initiator,Responder
joint,P07_Player2_1045_joint_TrialID39_Date_09_05_2019_142136.csv,37,-1,1,Initiator,Responder
joint,P09_Player2_1022_joint_TrialID43_Date_09_05_2019_163908.csv,38,-1,1,Initiator,Responder
joint,P09_Player2_1041_joint_TrialID42_Date_09_05_2019_164110.csv,39,-1,1,Initiator,Responder
joint,P11_Player2_1016_joint_TrialID42_Date_10_05_2019_132117.csv,40,-1,1,Initiator,Responder
joint,P05_Player1_1010_joint_TrialID22_Date_09_05_2019_104911.csv,41,-1,2,Initiator,Responder
joint,P05_Player1_1019_joint_TrialID26_Date_09_05_2019_105009.csv,42,-1,2,Initiator,Responder
joint,P07_Player2_1010_joint_TrialID31_Date_09_05_2019_141754.csv,43,-1,2,Initiator,Responder
joint,P07_Player2_1015_joint_TrialID32_Date_09_05_2019_141828.csv,44,-1,2,Initiator,Responder
joint,P07_Player2_1039_joint_TrialID29_Date_09_05_2019_142100.csv,45,-1,3,Initiator,Responder
joint,P08_Player1_1027_joint_TrialID23_Date_09_05_2019_154120.csv,46,-1,3,Initiator,Responder
joint,P08_Player1_1012_joint_TrialID21_Date_09_05_2019_153833.csv,47,-1,3,Initiator,Responder
joint,P08_Player1_1013_joint_TrialID20_Date_09_05_2019_153842.csv,48,-1,3,Initiator,Responder
