TaskName,PlaybackID,TrialID,GazeCongruency,TargetLocation,Participant,AI
joint,P05_Player2_1022_joint_TrialID3_Date_09_05_2019_105128.csv,1,0,1,Responder,Initiator
joint,P05_Player2_1031_joint_TrialID5_Date_09_05_2019_105232.csv,2,0,1,Responder,Initiator
joint,P11_Player2_1007_joint_TrialID11_Date_10_05_2019_132025.csv,3,0,2,Responder,Initiator
joint,P11_Player2_1017_joint_TrialID15_Date_10_05_2019_132123.csv,4,0,2,Responder,Initiator
joint,P05_Player2_1019_joint_TrialID26_Date_09_05_2019_105108.csv,5,0,3,Responder,Initiator
joint,P05_Player2_1028_joint_TrialID23_Date_09_05_2019_105211.csv,6,0,3,Responder,Initiator
joint,P10_Player2_1017_joint_TrialID9_Date_10_05_2019_124601.csv,7,1,1,Responder,Initiator
joint,P11_Player2_1008_joint_TrialID3_Date_10_05_2019_132031.csv,8,1,1,Responder,Initiator
joint,P05_Player2_1036_joint_TrialID9_Date_09_05_2019_105305.csv,9,1,1,Responder,Initiator
joint,P09_Player2_1002_joint_TrialID1_Date_09_05_2019_163617.csv,10,1,1,Responder,Initiator
joint,P09_Player2_1050_joint_TrialID3_Date_09_05_2019_164207.csv,11,1,1,Responder,Initiator
joint,P09_Player2_1051_joint_TrialID5_Date_09_05_2019_164213.csv,12,1,1,Responder,Initiator
joint,P05_Player2_1003_joint_TrialID17_Date_09_05_2019_104855.csv,13,1,2,Responder,Initiator
joint,P05_Player2_1017_joint_TrialID14_Date_09_05_2019_105057.csv,14,1,2,Responder,Initiator
joint,P11_Player2_1043_joint_TrialID16_Date_10_05_2019_132413.csv,15,1,2,Responder,Initiator
joint,P19_Player2_1025_joint_TrialID14_Date_16_05_2019_122517.csv,16,1,2,Responder,Initiator
joint,P19_Player2_1031_joint_TrialID16_Date_16_05_2019_122549.csv,17,1,2,Responder,Initiator
joint,P05_Player2_1014_joint_TrialID4_Date_09_05_2019_105038.csv,18,1,2,Responder,Initiator
joint,P11_Player2_1015_joint_TrialID21_Date_10_05_2019_132112.csv,19,1,3,Responder,Initiator
joint,P11_Player2_1037_joint_TrialID25_Date_10_05_2019_132333.csv,20,1,3,Responder,Initiator
joint,P11_Player2_1042_joint_TrialID24_Date_10_05_2019_132403.csv,21,1,3,Responder,Initiator
joint,P19_Player2_1020_joint_TrialID23_Date_16_05_2019_122452.csv,22,1,3,Responder,Initiator
joint,P19_Player2_1042_joint_TrialID22_Date_16_05_2019_122646.csv,23,1,3,Responder,Initiator
joint,P09_Player2_1017_joint_TrialID20_Date_09_05_2019_163835.csv,24,1,3,Responder,Initiator
joint,P08_Player2_1025_joint_TrialID52_Date_09_05_2019_154154.csv,25,-1,1,Initiator,Responder
joint,P09_Player2_1005_joint_TrialID49_Date_09_05_2019_163659.csv,26,-1,1,Initiator,Responder
joint,P09_Player2_1025_joint_TrialID46_Date_09_05_2019_163928.csv,27,-1,1,Initiator,Responder
joint,P09_Player2_1026_joint_TrialID47_Date_09_05_2019_163935.csv,28,-1,1,Initiator,Responder
joint,P09_Player2_1036_joint_TrialID52_Date_09_05_2019_164040.csv,29,-1,1,Initiator,Responder
joint,P09_Player2_1046_joint_TrialID53_Date_09_05_2019_164142.csv,30,-1,1,Initiator,Responder
joint,P09_Player2_1055_joint_TrialID50_Date_09_05_2019_164239.csv,31,-1,1,Initiator,Responder
joint,P11_Player2_1053_joint_TrialID46_Date_10_05_2019_132513.csv,32,-1,1,Initiator,Responder
joint,P09_Player2_1035_joint_TrialID37_Date_09_05_2019_164034.csv,33,-1,2,Initiator,Responder
joint,P09_Player2_1038_joint_TrialID40_Date_09_05_2019_164053.csv,34,-1,2,Initiator,Responder
joint,P11_Player2_1013_joint_TrialID45_Date_10_05_2019_132059.csv,35,-1,2,Initiator,Responder
joint,P11_Player2_1051_joint_TrialID43_Date_10_05_2019_132502.csv,36,-1,2,Initiator,Responder
joint,P19_Player2_1005_joint_TrialID45_Date_16_05_2019_122322.csv,37,-1,2,Initiator,Responder
joint,P19_Player2_1011_joint_TrialID43_Date_16_05_2019_122400.csv,38,-1,2,Initiator,Responder
joint,P19_Player2_1036_joint_TrialID39_Date_16_05_2019_122616.csv,39,-1,2,Initiator,Responder
joint,P19_Player2_1039_joint_TrialID37_Date_16_05_2019_122631.csv,40,-1,2,Initiator,Responder
joint,P09_Player2_1027_joint_TrialID32_Date_09_05_2019_163942.csv,41,-1,3,Initiator,Responder
joint,P09_Player2_1030_joint_TrialID34_Date_09_05_2019_164002.csv,42,-1,3,Initiator,Responder
joint,P09_Player2_1032_joint_TrialID29_Date_09_05_2019_164015.csv,43,-1,3,Initiator,Responder
joint,P09_Player2_1053_joint_TrialID30_Date_09_05_2019_164226.csv,44,-1,3,Initiator,Responder
joint,P11_Player2_1003_joint_TrialID33_Date_10_05_2019_131946.csv,45,-1,3,Initiator,Responder
joint,P11_Player2_1006_joint_TrialID34_Date_10_05_2019_132019.csv,46,-1,3,Initiator,Responder
joint,P11_Player2_1044_joint_TrialID36_Date_10_05_2019_132420.csv,47,-1,3,Initiator,Responder
joint,P11_Player2_1050_joint_TrialID35_Date_10_05_2019_132456.csv,48,-1,3,Initiator,Responder
