TaskName,PlaybackID,TrialID,GazeCongruency,TargetLocation,Participant,AI
joint,P1000_Player2_1189_joint_TrialID2501_Date_29_10_2020_133251.csv,2501,0,1,Responder,Initiator
joint,P1000_Player2_1184_joint_TrialID2502_Date_29_10_2020_133205.csv,2502,0,1,Responder,Initiator
joint,P1000_Player2_1269_joint_TrialID2503_Date_29_10_2020_134402.csv,2503,0,1,Responder,Initiator
joint,P1000_Player2_1330_joint_TrialID2504_Date_29_10_2020_135847.csv,2504,0,1,Responder,Initiator
joint,P1000_Player2_1289_joint_TrialID2505_Date_29_10_2020_135310.csv,2505,0,1,Responder,Initiator
joint,P1000_Player2_1122_joint_TrialID2506_Date_29_10_2020_132312.csv,2506,0,1,Responder,Initiator
joint,P1000_Player2_1094_joint_TrialID2507_Date_29_10_2020_131804.csv,2507,0,2,Responder,Initiator
joint,P1000_Player2_1119_joint_TrialID2508_Date_29_10_2020_132245.csv,2508,0,2,Responder,Initiator
joint,P1000_Player2_1386_joint_TrialID2509_Date_29_10_2020_140557.csv,2509,0,2,Responder,Initiator
joint,P1000_Player2_1319_joint_TrialID2510_Date_29_10_2020_135722.csv,2510,0,2,Responder,Initiator
joint,P1000_Player2_1133_joint_TrialID2511_Date_29_10_2020_132444.csv,2511,0,2,Responder,Initiator
joint,P1000_Player2_1399_joint_TrialID2512_Date_29_10_2020_140739.csv,2512,0,2,Responder,Initiator
joint,P1000_Player2_1229_joint_TrialID2513_Date_29_10_2020_133834.csv,2513,0,3,Responder,Initiator
joint,P1000_Player2_1061_joint_TrialID2514_Date_29_10_2020_131240.csv,2514,0,3,Responder,Initiator
joint,P1000_Player2_1322_joint_TrialID2515_Date_29_10_2020_135746.csv,2515,0,3,Responder,Initiator
joint,P1000_Player2_1148_joint_TrialID2516_Date_29_10_2020_132651.csv,2516,0,3,Responder,Initiator
joint,P1000_Player2_1213_joint_TrialID2517_Date_29_10_2020_133613.csv,2517,0,3,Responder,Initiator
joint,P1000_Player2_1129_joint_TrialID2518_Date_29_10_2020_132410.csv,2518,0,3,Responder,Initiator
joint,P1000_Player2_1304_joint_TrialID2519_Date_29_10_2020_135519.csv,2519,1,1,Responder,Initiator
joint,P1000_Player2_1152_joint_TrialID2520_Date_29_10_2020_132730.csv,2520,1,1,Responder,Initiator
joint,P1000_Player2_1149_joint_TrialID2521_Date_29_10_2020_132701.csv,2521,1,1,Responder,Initiator
joint,P1000_Player2_1052_joint_TrialID2522_Date_29_10_2020_131114.csv,2522,1,1,Responder,Initiator
joint,P1000_Player2_1072_joint_TrialID2523_Date_29_10_2020_131428.csv,2523,1,1,Responder,Initiator
joint,P1000_Player2_1187_joint_TrialID2524_Date_29_10_2020_133232.csv,2524,1,1,Responder,Initiator
joint,P1000_Player2_1302_joint_TrialID2525_Date_29_10_2020_135501.csv,2525,1,1,Responder,Initiator
joint,P1000_Player2_1025_joint_TrialID2526_Date_29_10_2020_130712.csv,2526,1,1,Responder,Initiator
joint,P1000_Player2_1026_joint_TrialID2527_Date_29_10_2020_130720.csv,2527,1,1,Responder,Initiator
joint,P1000_Player2_1199_joint_TrialID2528_Date_29_10_2020_133415.csv,2528,1,1,Responder,Initiator
joint,P1000_Player2_1090_joint_TrialID2529_Date_29_10_2020_131726.csv,2529,1,1,Responder,Initiator
joint,P1000_Player2_1200_joint_TrialID2530_Date_29_10_2020_133423.csv,2530,1,1,Responder,Initiator
joint,P1000_Player2_1080_joint_TrialID2531_Date_29_10_2020_131551.csv,2531,1,1,Responder,Initiator
joint,P1000_Player2_1003_joint_TrialID2532_Date_19_11_2020_145007.csv,2532,1,1,Responder,Initiator
joint,P1000_Player2_1127_joint_TrialID2533_Date_29_10_2020_132353.csv,2533,1,1,Responder,Initiator
joint,P1000_Player2_1230_joint_TrialID2534_Date_29_10_2020_133843.csv,2534,1,1,Responder,Initiator
joint,P1000_Player2_1043_joint_TrialID2535_Date_29_10_2020_130954.csv,2535,1,1,Responder,Initiator
joint,P1000_Player2_1227_joint_TrialID2536_Date_29_10_2020_133816.csv,2536,1,1,Responder,Initiator
joint,P1000_Player2_1031_joint_TrialID2537_Date_29_10_2020_130807.csv,2537,1,2,Responder,Initiator
joint,P1000_Player2_1410_joint_TrialID2538_Date_29_10_2020_140908.csv,2538,1,2,Responder,Initiator
joint,P1000_Player2_1059_joint_TrialID2539_Date_29_10_2020_131220.csv,2539,1,2,Responder,Initiator
joint,P1000_Player2_1015_joint_TrialID2540_Date_19_11_2020_142430.csv,2540,1,2,Responder,Initiator
joint,P1000_Player2_1035_joint_TrialID2541_Date_29_10_2020_130840.csv,2541,1,2,Responder,Initiator
joint,P1000_Player2_1223_joint_TrialID2542_Date_29_10_2020_133742.csv,2542,1,2,Responder,Initiator
joint,P1000_Player2_1334_joint_TrialID2543_Date_29_10_2020_135919.csv,2543,1,2,Responder,Initiator
joint,P1000_Player2_1236_joint_TrialID2544_Date_29_10_2020_133935.csv,2544,1,2,Responder,Initiator
joint,P1000_Player2_1209_joint_TrialID2545_Date_29_10_2020_133541.csv,2545,1,2,Responder,Initiator
joint,P1000_Player2_1272_joint_TrialID2546_Date_29_10_2020_134426.csv,2546,1,2,Responder,Initiator
joint,P1000_Player2_1415_joint_TrialID2547_Date_29_10_2020_140949.csv,2547,1,2,Responder,Initiator
joint,P1000_Player2_1273_joint_TrialID2548_Date_29_10_2020_134434.csv,2548,1,2,Responder,Initiator
joint,P1000_Player2_1029_joint_TrialID2549_Date_29_10_2020_130747.csv,2549,1,2,Responder,Initiator
joint,P1000_Player2_1192_joint_TrialID2550_Date_29_10_2020_133319.csv,2550,1,2,Responder,Initiator
joint,P1000_Player2_1276_joint_TrialID2551_Date_29_10_2020_135116.csv,2551,1,2,Responder,Initiator
