TaskName,PlaybackID,TrialID,GazeCongruency,TargetLocation,Participant,AI
joint,P2000_Player2_1161_joint_TrialID5001_Date_29_10_2020_154851.csv,5001,0,1,Responder,Initiator
joint,P2000_Player2_1094_joint_TrialID5002_Date_29_10_2020_154019.csv,5002,0,1,Responder,Initiator
joint,P2000_Player2_1036_joint_TrialID5003_Date_29_10_2020_153239.csv,5003,0,1,Responder,Initiator
joint,P2000_Player2_1007_joint_TrialID5004_Date_19_11_2020_144034.csv,5004,0,1,Responder,Initiator
joint,P2000_Player2_1053_joint_TrialID5005_Date_29_10_2020_153501.csv,5005,0,1,Responder,Initiator
joint,P2000_Player2_1206_joint_TrialID5006_Date_29_10_2020_155423.csv,5006,0,1,Responder,Initiator
joint,P2000_Player2_1121_joint_TrialID5007_Date_29_10_2020_154347.csv,5007,0,1,Responder,Initiator
joint,P2000_Player2_1393_joint_TrialID5008_Date_29_10_2020_162615.csv,5008,0,1,Responder,Initiator
joint,P2000_Player2_1322_joint_TrialID5009_Date_29_10_2020_161716.csv,5009,0,1,Responder,Initiator
joint,P2000_Player2_1045_joint_TrialID5010_Date_29_10_2020_153357.csv,5010,0,1,Responder,Initiator
joint,P2000_Player2_1219_joint_TrialID5011_Date_29_10_2020_155555.csv,5011,0,1,Responder,Initiator
joint,P2000_Player2_1059_joint_TrialID5012_Date_29_10_2020_153548.csv,5012,0,1,Responder,Initiator
joint,P2000_Player2_1407_joint_TrialID5013_Date_29_10_2020_162753.csv,5013,0,2,Responder,Initiator
joint,P2000_Player2_1087_joint_TrialID5014_Date_29_10_2020_153925.csv,5014,0,2,Responder,Initiator
joint,P2000_Player2_1013_joint_TrialID5015_Date_29_10_2020_152935.csv,5015,0,2,Responder,Initiator
joint,P2000_Player2_1056_joint_TrialID5016_Date_29_10_2020_153524.csv,5016,0,2,Responder,Initiator
joint,P2000_Player2_1257_joint_TrialID5017_Date_29_10_2020_160044.csv,5017,0,2,Responder,Initiator
joint,P2000_Player2_1237_joint_TrialID5018_Date_29_10_2020_155812.csv,5018,0,2,Responder,Initiator
joint,P2000_Player2_1389_joint_TrialID5019_Date_29_10_2020_162545.csv,5019,0,2,Responder,Initiator
joint,P2000_Player2_1325_joint_TrialID5020_Date_29_10_2020_161739.csv,5020,0,2,Responder,Initiator
joint,P2000_Player2_1245_joint_TrialID5021_Date_29_10_2020_155915.csv,5021,0,2,Responder,Initiator
joint,P2000_Player2_1005_joint_TrialID5022_Date_19_11_2020_144014.csv,5022,0,2,Responder,Initiator
joint,P2000_Player2_1235_joint_TrialID5023_Date_29_10_2020_155757.csv,5023,0,2,Responder,Initiator
joint,P2000_Player2_1376_joint_TrialID5024_Date_29_10_2020_162405.csv,5024,0,2,Responder,Initiator
joint,P2000_Player2_1008_joint_TrialID5025_Date_19_11_2020_144043.csv,5025,0,3,Responder,Initiator
joint,P2000_Player2_1140_joint_TrialID5026_Date_29_10_2020_154614.csv,5026,0,3,Responder,Initiator
joint,P2000_Player2_1349_joint_TrialID5027_Date_29_10_2020_162038.csv,5027,0,3,Responder,Initiator
joint,P2000_Player2_1429_joint_TrialID5028_Date_29_10_2020_163030.csv,5028,0,3,Responder,Initiator
joint,P2000_Player2_1145_joint_TrialID5029_Date_29_10_2020_154655.csv,5029,0,3,Responder,Initiator
joint,P2000_Player2_1431_joint_TrialID5030_Date_29_10_2020_163047.csv,5030,0,3,Responder,Initiator
joint,P2000_Player2_1127_joint_TrialID5031_Date_29_10_2020_154436.csv,5031,0,3,Responder,Initiator
joint,P2000_Player2_1084_joint_TrialID5032_Date_29_10_2020_153903.csv,5032,0,3,Responder,Initiator
joint,P2000_Player2_1264_joint_TrialID5033_Date_29_10_2020_161002.csv,5033,0,3,Responder,Initiator
joint,P2000_Player2_1282_joint_TrialID5034_Date_29_10_2020_161224.csv,5034,0,3,Responder,Initiator
joint,P2000_Player2_1415_joint_TrialID5035_Date_29_10_2020_162852.csv,5035,0,3,Responder,Initiator
joint,P2000_Player2_1422_joint_TrialID5036_Date_29_10_2020_162943.csv,5036,0,3,Responder,Initiator
joint,P2000_Player2_1194_joint_TrialID5037_Date_29_10_2020_155249.csv,5037,1,1,Responder,Initiator
joint,P2000_Player2_1317_joint_TrialID5038_Date_29_10_2020_161641.csv,5038,1,1,Responder,Initiator
joint,P2000_Player2_1375_joint_TrialID5039_Date_29_10_2020_162357.csv,5039,1,1,Responder,Initiator
joint,P2000_Player2_1341_joint_TrialID5040_Date_29_10_2020_161938.csv,5040,1,1,Responder,Initiator
joint,P2000_Player2_1377_joint_TrialID5041_Date_29_10_2020_162414.csv,5041,1,1,Responder,Initiator
joint,P2000_Player2_1181_joint_TrialID5042_Date_29_10_2020_155114.csv,5042,1,1,Responder,Initiator
joint,P2000_Player2_1241_joint_TrialID5043_Date_29_10_2020_155843.csv,5043,1,1,Responder,Initiator
joint,P2000_Player2_1234_joint_TrialID5044_Date_29_10_2020_155749.csv,5044,1,1,Responder,Initiator
joint,P2000_Player2_1139_joint_TrialID5045_Date_29_10_2020_154606.csv,5045,1,1,Responder,Initiator
joint,P2000_Player2_1233_joint_TrialID5046_Date_29_10_2020_155740.csv,5046,1,1,Responder,Initiator
joint,P2000_Player2_1355_joint_TrialID5047_Date_29_10_2020_162125.csv,5047,1,1,Responder,Initiator
joint,P2000_Player2_1412_joint_TrialID5048_Date_29_10_2020_162829.csv,5048,1,1,Responder,Initiator
joint,P2000_Player2_1205_joint_TrialID5049_Date_29_10_2020_155414.csv,5049,1,2,Responder,Initiator
joint,P2000_Player2_1204_joint_TrialID5050_Date_29_10_2020_155406.csv,5050,1,2,Responder,Initiator
joint,P2000_Player2_1141_joint_TrialID5051_Date_29_10_2020_154623.csv,5051,1,2,Responder,Initiator
joint,P2000_Player2_1122_joint_TrialID5052_Date_29_10_2020_154356.csv,5052,1,2,Responder,Initiator
joint,P2000_Player2_1146_joint_TrialID5053_Date_29_10_2020_154703.csv,5053,1,2,Responder,Initiator
joint,P2000_Player2_1266_joint_TrialID5054_Date_29_10_2020_161017.csv,5054,1,2,Responder,Initiator
joint,P2000_Player2_1004_joint_TrialID5055_Date_19_11_2020_144004.csv,5055,1,2,Responder,Initiator
joint,P2000_Player2_1035_joint_TrialID5056_Date_29_10_2020_153230.csv,5056,1,2,Responder,Initiator
joint,P2000_Player2_1043_joint_TrialID5057_Date_29_10_2020_153336.csv,5057,1,2,Responder,Initiator
joint,P2000_Player2_1430_joint_TrialID5058_Date_29_10_2020_163038.csv,5058,1,2,Responder,Initiator
joint,P2000_Player2_1262_joint_TrialID5059_Date_29_10_2020_160124.csv,5059,1,2,Responder,Initiator
joint,P2000_Player2_1404_joint_TrialID5060_Date_29_10_2020_162730.csv,5060,1,2,Responder,Initiator
joint,P2000_Player2_1076_joint_TrialID5061_Date_29_10_2020_153800.csv,5061,1,3,Responder,Initiator
joint,P2000_Player2_1188_joint_TrialID5062_Date_29_10_2020_155202.csv,5062,1,3,Responder,Initiator
joint,P2000_Player2_1379_joint_TrialID5063_Date_29_10_2020_162429.csv,5063,1,3,Responder,Initiator
joint,P2000_Player2_1183_joint_TrialID5064_Date_29_10_2020_155128.csv,5064,1,3,Responder,Initiator
joint,P2000_Player2_1180_joint_TrialID5065_Date_29_10_2020_155106.csv,5065,1,3,Responder,Initiator
joint,P2000_Player2_1397_joint_TrialID5066_Date_29_10_2020_162643.csv,5066,1,3,Responder,Initiator
joint,P2000_Player2_1167_joint_TrialID5067_Date_29_10_2020_154934.csv,5067,1,3,Responder,Initiator
joint,P2000_Player2_1366_joint_TrialID5068_Date_29_10_2020_162244.csv,5068,1,3,Responder,Initiator
joint,P2000_Player2_1274_joint_TrialID5069_Date_29_10_2020_161120.csv,5069,1,3,Responder,Initiator
joint,P2000_Player2_1405_joint_TrialID5070_Date_29_10_2020_162738.csv,5070,1,3,Responder,Initiator
joint,P2000_Player2_1336_joint_TrialID5071_Date_29_10_2020_161901.csv,5071,1,3,Responder,Initiator
joint,P2000_Player2_1224_joint_TrialID5072_Date_29_10_2020_155633.csv,5072,1,3,Responder,Initiator
joint,P2000_Player2_1165_joint_TrialID5073_Date_29_10_2020_154920.csv,5073,,1,Initiator,Responder
joint,P2000_Player2_1166_joint_TrialID5074_Date_29_10_2020_154927.csv,5074,,1,Initiator,Responder
joint,P2000_Player2_1187_joint_TrialID5075_Date_29_10_2020_155155.csv,5075,,1,Initiator,Responder
joint,P2000_Player2_1155_joint_TrialID5076_Date_29_10_2020_154808.csv,5076,,1,Initiator,Responder
joint,P2000_Player2_1063_joint_TrialID5077_Date_29_10_2020_153619.csv,5077,,1,Initiator,Responder
joint,P2000_Player2_1280_joint_TrialID5078_Date_29_10_2020_161207.csv,5078,,1,Initiator,Responder
joint,P2000_Player2_1390_joint_TrialID5079_Date_29_10_2020_162552.csv,5079,,1,Initiator,Responder
joint,P2000_Player2_1012_joint_TrialID5080_Date_29_10_2020_152928.csv,5080,,1,Initiator,Responder
joint,P2000_Player2_1303_joint_TrialID5081_Date_29_10_2020_161501.csv,5081,,1,Initiator,Responder
joint,P2000_Player2_1082_joint_TrialID5082_Date_29_10_2020_153844.csv,5082,,1,Initiator,Responder
joint,P2000_Player2_1373_joint_TrialID5083_Date_29_10_2020_162340.csv,5083,,1,Initiator,Responder
joint,P2000_Player2_1178_joint_TrialID5084_Date_29_10_2020_155051.csv,5084,,1,Initiator,Responder
joint,P2000_Player2_1095_joint_TrialID5085_Date_29_10_2020_154027.csv,5085,,1,Initiator,Responder
joint,P2000_Player2_1306_joint_TrialID5086_Date_29_10_2020_161521.csv,5086,,1,Initiator,Responder
joint,P2000_Player2_1358_joint_TrialID5087_Date_29_10_2020_162146.csv,5087,,1,Initiator,Responder
joint,P2000_Player2_1086_joint_TrialID5088_Date_29_10_2020_153916.csv,5088,,1,Initiator,Responder
joint,P2000_Player2_1242_joint_TrialID5089_Date_29_10_2020_155849.csv,5089,,1,Initiator,Responder
joint,P2000_Player2_1216_joint_TrialID5090_Date_29_10_2020_155534.csv,5090,,1,Initiator,Responder
joint,P2000_Player2_1078_joint_TrialID5091_Date_29_10_2020_153815.csv,5091,,1,Initiator,Responder
joint,P2000_Player2_1420_joint_TrialID5092_Date_29_10_2020_162928.csv,5092,,1,Initiator,Responder
joint,P2000_Player2_1296_joint_TrialID5093_Date_29_10_2020_161409.csv,5093,,1,Initiator,Responder
joint,P2000_Player2_1197_joint_TrialID5094_Date_29_10_2020_155309.csv,5094,,1,Initiator,Responder
joint,P2000_Player2_1361_joint_TrialID5095_Date_29_10_2020_162207.csv,5095,,1,Initiator,Responder
joint,P2000_Player2_1228_joint_TrialID5096_Date_29_10_2020_155701.csv,5096,,1,Initiator,Responder
