TaskName,PlaybackID,TrialID,GazeCongruency,TargetLocation,Participant,AI
joint,P2000_Player2_1413_joint_TrialID2501_Date_29_10_2020_162838.csv,2501,0,1,Responder,Initiator
joint,P2000_Player2_1408_joint_TrialID2502_Date_29_10_2020_162802.csv,2502,0,1,Responder,Initiator
joint,P2000_Player2_1281_joint_TrialID2503_Date_29_10_2020_161216.csv,2503,0,1,Responder,Initiator
joint,P2000_Player2_1364_joint_TrialID2504_Date_29_10_2020_162230.csv,2504,0,1,Responder,Initiator
joint,P2000_Player2_1382_joint_TrialID2505_Date_29_10_2020_162455.csv,2505,0,1,Responder,Initiator
joint,P2000_Player2_1383_joint_TrialID2506_Date_29_10_2020_162502.csv,2506,0,1,Responder,Initiator
joint,P2000_Player2_1329_joint_TrialID2507_Date_29_10_2020_161809.csv,2507,0,2,Responder,Initiator
joint,P2000_Player2_1275_joint_TrialID2508_Date_29_10_2020_161128.csv,2508,0,2,Responder,Initiator
joint,P2000_Player2_1057_joint_TrialID2509_Date_29_10_2020_153533.csv,2509,0,2,Responder,Initiator
joint,P2000_Player2_1114_joint_TrialID2510_Date_29_10_2020_154255.csv,2510,0,2,Responder,Initiator
joint,P2000_Player2_1396_joint_TrialID2511_Date_29_10_2020_162636.csv,2511,0,2,Responder,Initiator
joint,P2000_Player2_1297_joint_TrialID2512_Date_29_10_2020_161417.csv,2512,0,2,Responder,Initiator
joint,P2000_Player2_1108_joint_TrialID2513_Date_29_10_2020_154208.csv,2513,0,3,Responder,Initiator
joint,P2000_Player2_1331_joint_TrialID2514_Date_29_10_2020_161824.csv,2514,0,3,Responder,Initiator
joint,P2000_Player2_1332_joint_TrialID2515_Date_29_10_2020_161832.csv,2515,0,3,Responder,Initiator
joint,P2000_Player2_1067_joint_TrialID2516_Date_29_10_2020_153649.csv,2516,0,3,Responder,Initiator
joint,P2000_Player2_1368_joint_TrialID2517_Date_29_10_2020_162302.csv,2517,0,3,Responder,Initiator
joint,P2000_Player2_1253_joint_TrialID2518_Date_29_10_2020_160015.csv,2518,0,3,Responder,Initiator
joint,P2000_Player2_1062_joint_TrialID2519_Date_29_10_2020_153612.csv,2519,1,1,Responder,Initiator
joint,P2000_Player2_1169_joint_TrialID2520_Date_29_10_2020_154948.csv,2520,1,1,Responder,Initiator
joint,P2000_Player2_1162_joint_TrialID2521_Date_29_10_2020_154858.csv,2521,1,1,Responder,Initiator
joint,P2000_Player2_1351_joint_TrialID2522_Date_29_10_2020_162054.csv,2522,1,1,Responder,Initiator
joint,P2000_Player2_1302_joint_TrialID2523_Date_29_10_2020_161454.csv,2523,1,1,Responder,Initiator
joint,P2000_Player2_1011_joint_TrialID2524_Date_19_11_2020_144111.csv,2524,1,1,Responder,Initiator
joint,P2000_Player2_1125_joint_TrialID2525_Date_29_10_2020_154420.csv,2525,1,1,Responder,Initiator
joint,P2000_Player2_1243_joint_TrialID2526_Date_29_10_2020_155858.csv,2526,1,1,Responder,Initiator
