Task,TrialID,TargetLocation,RoleA,B1_Val_A,B2_Val_A,B3_Val_A,RoleB,PredictiveGaze,AV_Display,Gaze_1,Gaze_2,Gaze_3,Gaze_4,HeadX,HeadY,HeadZ,HeadEulerX,HeadEulerY,HeadEulerZ,PoseX,PoseY,PoseZ,PoseEulerX,PoseEulerY,PoseEulerZ,PoseValid,LeftGazeOriginX,LeftGazeOriginY,LeftGazeOriginZ,LeftGazeDirectionX,LeftGazeDirectionY,LeftGazeDirectionZ,RightGazeOriginX,RightGazeOriginY,RightGazeOriginZ,RightGazeDirectionX,RightGazeDirectionY,RightGazeDirectionZ,CombinedGazeOriginX,CombinedGazeOriginY,CombinedGazeOriginZ,CombinedGazeDirectionX,CombinedGazeDirectionY,CombinedGazeDirectionZ,GazeValid,GazedObject,GazedPointX,GazedPointY,GazedPointZ,GazedObjG2OM,EyeTimeStamp,HandPosX,HandPosY,HandPosZ,HandEulerX,HandEulerY,HandEulerZ,HandContactObj,HandPointObj,PartnerHeadPosX,PartnerHeadPosY,PartnerHeadPosZ,PartnerHeadEulerX,PartnerHeadEulerY,PartnerHeadEulerZ,PartnerLeftEyeGazeVectorX,PartnerLeftEyeGazeVectorY,PartnerLeftEyeGazeZ,PartnerLeftEyeEulerX,PartnerLeftEyeEulerY,PartnerLeftEyeEulerZ,PartnerRightEyeGazeVectorX,PartnerRightEyeGazeVectorY,PartnerRightEyeGazeVectorZ,PartnerRightEyeEulerX,PartnerRightEyeEulerY,PartnerRightEyeEulerZ,PartnerGazedObject,PartnerGazedPointX,PartnerGazedPointY,PartnerGazedPointZ,PartnerHandPosX,PartnerHandPosY,PartnerHandPosZ,PartnerHandEulerX,PartnerHandEulerY,PartnerHandEulerZ,PartnerHandContactName,PartnerPointName,PartnerLocalTime,JointAttention,JointGaze,TargetName,TargetPosX,TargetPosY,TargetPosZ,ExpPhase,UnityTime,NetworkTime,NetworkRTT,HandToTargetDist,HandAngleToTarget,GazeAngleToTarget,GazeAngleToPartnerHand,GazeAngleToPartnerHead,MovePhase
joint,5018,2,Responder,4,5,2,Initiator,0,2,2,3,1,0,-0.0163,1.1976,0.8384,5.3534,181.6719,356.0839,-0.0169,1.1964,0.8236,5.2921,181.6929,356.1342,1,-0.0319,0.0039,-0.0242,-0.0192,0.0898,0.9958,0.0309,0.0073,-0.0236,-0.0557,0.0863,0.9947,-0.0161,1.2042,0.8468,0.0019,-0.0018,-1,1,Player1Face,-0.0133,1.2014,-0.6399,Player1Face,8233951491,0.0016,0.7998,0.296,346.8772,56.8726,347.2785,FingerCubeReady,TABLE_Folding,-0.0187,1.1796,-0.6342,11.9377,0.4007,356.8992,0.0028,-0.1895,0.9806,12.3522,0.3119,0,-0.0593,-0.1895,0.9813,12.4031,356.4752,0,Cube2,-0.0372,0.9519,-0.1,0.0013,0.7968,-0.2911,347.9051,219.9971,340.2514,FingerCubeReady,TABLE_Folding,1852.756,0,0,Cube2,0,0.89,0,0,1814.117,1804.9340488,0.0110606855390934,0.3094,46.3893,20.2688,19.6046,0.8684,0
joint,5018,2,Responder,4,5,2,Initiator,0,2,2,3,1,0,-0.0163,1.1976,0.8385,5.3589,181.6509,356.0658,-0.0169,1.1964,0.8235,5.3101,181.7026,356.1048,1,-0.0319,0.0039,-0.0242,-0.019,0.0905,0.9957,0.0309,0.0073,-0.0236,-0.0558,0.0856,0.9948,-0.016,1.2042,0.8467,0.0016,-0.0021,-1,1,Player1Face,-0.0136,1.2011,-0.6401,Player1Face,8233976486,0.0016,0.7998,0.296,346.8769,56.8758,347.2781,FingerCubeReady,TABLE_Folding,-0.019,1.1797,-0.6341,11.8094,0.3083,356.9379,0.0039,-0.1916,0.9811,11.5265,0.2253,0,-0.0537,-0.1916,0.9803,11.5471,356.4869,0,Cube2,-0.0363,0.9522,-0.1,0.0014,0.7967,-0.2911,347.8985,219.9765,340.2796,FingerCubeReady,TABLE_Folding,1852.778,0,0,Cube2,0,0.89,0,0,1814.139,1804.9562663,0.0110606855390934,0.3094,46.3884,20.2586,19.5964,0.8523,0
joint,5018,2,Responder,4,5,2,Initiator,0,2,2,3,1,0,-0.0163,1.1976,0.8385,5.352,181.6629,356.0611,-0.0168,1.1964,0.8235,5.3092,181.7016,356.0866,1,-0.0319,0.0039,-0.0242,-0.0186,0.0908,0.9957,0.0309,0.0073,-0.0236,-0.0557,0.0857,0.9948,-0.016,1.2042,0.8468,0.0013,-0.0019,-1,1,Player1Face,-0.014,1.2013,-0.64,Player1Face,8233984817,0.0016,0.7998,0.296,346.8766,56.8754,347.2749,FingerCubeReady,TABLE_Folding,-0.0192,1.1798,-0.6341,11.7455,0.2618,356.9513,0.0047,-0.1925,0.9814,11.3332,0.2221,0,-0.0633,-0.1925,0.9792,11.345,356.5031,0,Cube2,-0.0394,0.9526,-0.1,0.0013,0.7967,-0.2911,347.8965,219.9793,340.2747,FingerCubeReady,TABLE_Folding,1852.789,0,0,Cube2,0,0.89,0,0,1814.15,1804.967749,0.0110606855390934,0.3094,46.3916,20.2683,19.6065,0.8571,0
joint,5018,2,Responder,4,5,2,Initiator,0,2,2,3,1,0,-0.0164,1.1977,0.8383,5.3536,181.6546,356.0595,-0.0168,1.1964,0.8235,5.3099,181.703,356.0774,1,-0.0319,0.0039,-0.0242,-0.0184,0.0907,0.9957,0.0309,0.0073,-0.0236,-0.0553,0.0853,0.9948,-0.016,1.2042,0.8468,0.001,-0.0022,-1,1,Player1Face,-0.0145,1.2009,-0.6401,Player1Face,8233993149,0.0016,0.7997,0.296,346.8822,56.8771,347.268,FingerCubeReady,TABLE_Folding,-0.0193,1.1799,-0.6341,11.6773,0.2203,356.9636,0.0058,-0.1874,0.9812,11.2042,0.2355,0,-0.0562,-0.1874,0.9817,11.2097,356.5154,0,Cube2,-0.0372,0.9567,-0.1,0.0013,0.7967,-0.291,347.8943,219.9708,340.278,FingerCubeReady,TABLE_Folding,1852.8,0,0,Cube2,0,0.89,0,0,1814.161,1804.9789186,0.0110606855390934,0.3095,46.3958,20.2524,19.5914,0.8339,0
joint,5018,2,Responder,4,5,2,Initiator,0,2,2,3,1,0,-0.0164,1.1977,0.8383,5.3486,181.6404,356.0523,-0.0168,1.1964,0.8235,5.3137,181.6958,356.0821,1,-0.0319,0.0039,-0.0242,-0.0183,0.0908,0.9957,0.0309,0.0073,-0.0236,-0.0554,0.0857,0.9948,-0.016,1.2042,0.8468,0.0011,-0.002,-1,1,Player1Face,-0.0143,1.2012,-0.6401,Player1Face,8234009812,0.0016,0.7997,0.296,346.8824,56.8768,347.2713,FingerCubeReady,TABLE_Folding,-0.0196,1.1801,-0.6342,11.6067,0.171,356.9838,0.0071,-0.1893,0.981,11.104,0.2643,0,-0.0596,-0.1893,0.981,11.1036,356.5341,0,Cube2,-0.0385,0.9564,-0.1,0.0013,0.7967,-0.2911,347.8944,219.9836,340.2723,FingerCubeReady,TABLE_Folding,1852.811,0,0,Cube2,0,0.89,0,0,1814.173,1804.9907072,0.0110606855390934,0.3095,46.393,20.2633,19.6016,0.8421,0
joint,5018,2,Responder,4,5,2,Initiator,0,2,2,3,1,0,-0.0164,1.1977,0.8383,5.3547,181.6505,356.0359,-0.0168,1.1963,0.8235,5.3103,181.6942,356.0862,1,-0.0319,0.0039,-0.0242,-0.0184,0.0913,0.9957,0.0309,0.0073,-0.0236,-0.0556,0.086,0.9947,-0.0159,1.2042,0.8468,0.0013,-0.0016,-1,1,Player1Face,-0.014,1.2018,-0.6401,Player1Face,8234018143,0.0016,0.7997,0.296,346.8771,56.8802,347.2711,FingerCubeReady,TABLE_Folding,-0.0197,1.1802,-0.6342,11.5456,0.1235,356.9954,0.0153,-0.1957,0.9798,11.0733,0.3444,0,-0.0503,-0.1957,0.9801,11.0676,356.5895,0,Cube2,-0.0341,0.9528,-0.1,0.0013,0.7968,-0.291,347.8959,219.9844,340.2592,FingerCubeReady,TABLE_Folding,1852.823,0,0,Cube2,0,0.89,0,0,1814.184,1805.0014295,0.0110606855390934,0.3095,46.3916,20.2861,19.6243,0.8657,0
joint,5018,2,Responder,4,5,2,Initiator,0,2,2,3,1,0,-0.0163,1.1977,0.8383,5.3573,181.6539,356.0341,-0.0168,1.1963,0.8235,5.3191,181.6931,356.0913,1,-0.0319,0.0039,-0.0242,-0.0185,0.0913,0.9957,0.0309,0.0073,-0.0236,-0.0555,0.0866,0.9947,-0.0159,1.2041,0.8468,0.0013,-0.0014,-1,1,Player1Face,-0.014,1.2021,-0.6402,Player1Face,8234026475,0.0016,0.7998,0.296,346.8727,56.8808,347.2715,FingerCubeReady,TABLE_Folding,-0.02,1.1802,-0.6344,11.4765,0.0663,357.0173,0.0125,-0.1934,0.9801,11.0855,0.4466,0,-0.0525,-0.1934,0.9807,11.0753,356.673,0,Cube2,-0.0362,0.9553,-0.1,0.0013,0.7967,-0.291,347.8908,219.9823,340.2606,FingerCubeReady,TABLE_Folding,1852.834,0,0,Cube2,0,0.89,0,0,1814.195,1805.0123424,0.0110606855390934,0.3095,46.3891,20.2951,19.6346,0.8767,0
joint,5018,2,Responder,4,5,2,Initiator,0,2,2,3,1,0,-0.0163,1.1978,0.8384,5.3588,181.6551,356.0331,-0.0168,1.1963,0.8235,5.3396,181.6847,356.0907,1,-0.0319,0.0039,-0.0242,-0.0188,0.0909,0.9957,0.0309,0.0073,-0.0236,-0.0551,0.0864,0.9947,-0.016,1.2042,0.8468,0.0015,-0.002,-1,1,Player1Face,-0.0138,1.2012,-0.6405,Player1Face,8234043138,0.0016,0.7998,0.296,346.8751,56.8847,347.2709,FingerCubeReady,TABLE_Folding,-0.0201,1.1803,-0.6345,11.4115,0.0123,357.0324,0.0231,-0.2186,0.9781,11.223,0.5787,0,-0.0486,-0.2186,0.9719,11.2141,356.7591,0,Cube2,-0.0334,0.9393,-0.1,0.0013,0.7967,-0.291,347.8894,219.9931,340.257,FingerCubeReady,TABLE_Folding,1852.845,0,0,Cube2,0,0.89,0,0,1814.206,1805.0233501,0.0110606855390934,0.3094,46.3876,20.2603,19.5986,0.8421,0
joint,5018,2,Responder,4,5,2,Initiator,0,2,2,3,1,0,-0.0163,1.1978,0.8384,5.3628,181.6507,356.0406,-0.0167,1.1963,0.8235,5.34,181.6915,356.0998,1,-0.0319,0.0039,-0.0242,-0.0186,0.0911,0.9957,0.0309,0.0073,-0.0236,-0.0551,0.0871,0.9947,-0.0159,1.2041,0.8468,0.0012,-0.0016,-1,1,Player1Face,-0.0141,1.2017,-0.6406,Player1Face,8234051469,0.0016,0.7998,0.296,346.8745,56.8857,347.2694,FingerCubeReady,TABLE_Folding,-0.0202,1.1804,-0.6346,11.3539,359.9671,357.0429,-0.1117,-0.4364,0.8928,12.0696,0.3553,0,-0.1117,-0.4364,0.8928,12.0615,356.6536,0,,NaN,NaN,NaN,0.0013,0.7967,-0.291,347.8896,219.994,340.2618,FingerCubeReady,TABLE_Folding,1852.856,0,0,Cube2,0,0.89,0,0,1814.217,1805.0344641,0.0110606855390934,0.3094,46.3877,20.281,19.6202,0.8568,0
joint,5018,2,Responder,4,5,2,Initiator,0,2,2,3,1,0,-0.0163,1.1977,0.8385,5.3659,181.6566,356.0296,-0.0167,1.1963,0.8235,5.3469,181.6841,356.096,1,-0.0319,0.0039,-0.0242,-0.0188,0.0912,0.9957,0.0309,0.0073,-0.0236,-0.0548,0.0869,0.9947,-0.0159,1.2041,0.8468,0.0012,-0.0018,-1,1,Player1Face,-0.014,1.2014,-0.6408,Player1Face,8234059801,0.0016,0.7997,0.296,346.8722,56.8876,347.2697,FingerCubeReady,TABLE_Folding,-0.0204,1.1806,-0.6346,11.2729,359.9344,357.0648,-0.1117,-0.4364,0.8928,13.8089,359.5865,0,-0.1117,-0.4364,0.8928,13.7955,356.2684,0,,NaN,NaN,NaN,0.0013,0.7968,-0.2911,347.8833,220.0033,340.2571,FingerCubeReady,TABLE_Folding,1852.868,0,0,Cube2,0,0.89,0,0,1814.229,1805.0467483,0.0110606855390934,0.3094,46.3885,20.2701,19.6086,0.8426,0
